#: table_doi: 10.17182/hepdata.113470.v1/t20
#: name: Fig 5b unbinned
#: description: Mass distributions for selected $D^+ D^0 \pi^+$ candidates with the $D^0$ background subtracted by assigning the a weight to every candidate.
#: data_file: Fig_5b_unbinned.json
#: keyword reactions: P P --> Tcc+ X
#: keyword reactions: Tcc+ --> D0 D0 PI+
#: keyword observables: DN/DM
#: keyword cmenergies: 7000.0 | 8000.0 | 13000.0
#: keyword phrases: Inclusive | Proton-Proton Scattering | Invariant Mass Spectrum | Exotics | Tetraquark
$m_{D^+ D^0 \pi^+}$ [MEV],Weight []
3940.52815,1.34091
3940.57107,1.32691
3940.57632,-0.1716
3940.62567,1.22735
3940.73224,-0.7268
3940.79924,1.2207
3940.83714,-0.07315
3940.97662,0.11376
3941.07342,1.66204
3941.09845,-0.05725
3941.09893,1.56435
3941.11085,-0.16491
3941.12754,1.49878
3941.1869,-4.4235
3941.19501,0.75214
3941.22887,0.63373
3941.28752,0.63547
3941.32495,1.46014
3941.36834,-0.3282
3941.37788,0.33876
3941.39314,-0.76695
3941.42508,-0.0063
3941.49327,1.60241
3941.4959,-0.76798
3941.50972,-0.16366
3941.51282,1.59191
3941.59865,1.69087
3941.64896,1.60504
3941.65778,1.64598
3941.66756,-0.69977
3941.69736,-0.03846
3941.70284,1.29761
3942.0073,0.66974
3942.05809,0.99104
3942.18588,-0.30289
3942.24238,1.42422
3942.27052,-0.6554
3942.27433,1.45633
3942.28935,1.44692
3942.31296,0.11376
3942.32106,0.26182
3942.33942,-0.91117
3942.38424,-0.72013
3942.42716,1.62726
3942.48533,1.09265
3942.60955,1.64064
3942.62028,1.24781
3942.62242,1.11782
3942.65866,1.66488
3942.71636,-0.72671
3942.75236,0.58177
3942.83485,1.57547
3942.85369,0.04549
3942.90924,1.66837
3942.93857,-0.61283
3942.9512,1.67824
3943.02511,0.86625
3943.05444,1.69234
3943.10856,-0.75049
3943.12882,0.91468
3943.18652,1.50753
3943.29286,1.36021
3943.31169,-0.72884
3943.37153,1.08314
3943.44592,-0.8065
3943.59064,-0.34423
3943.72249,0.11559
3943.92729,0.38626
3943.97044,-0.74923
3944.01264,0.64319
3944.24534,0.61335
3944.26203,-0.75379
3944.27848,1.32376
3944.2842,-1.45754
3944.31615,-0.42448
