#: table_doi: 10.17182/hepdata.113470.v1/t19
#: name: Fig 5a unbinned
#: description: Mass distributions for selected $D^+ D^+$ candidates with the $D^0$ background subtracted by assigning the a weight to every candidate.
#: data_file: Fig_5a_unbinned.json
#: keyword reactions: P P --> Tcc+ X
#: keyword reactions: Tcc+ --> D0 D0 PI+
#: keyword observables: DN/DM
#: keyword cmenergies: 7000.0 | 8000.0 | 13000.0
#: keyword phrases: Inclusive | Proton-Proton Scattering | Invariant Mass Spectrum | Exotics | Tetraquark
$m_{D^+ D^+}$ [MEV],Weight []
3753.54266,-0.25663
3753.55339,1.01739
3753.60751,0.15873
3753.61514,-0.26797
3753.61919,0.03748
3753.62015,1.27183
3753.62539,0.07634
3753.62945,-0.22651
3753.66378,-0.53418
3753.66998,0.14321
3753.67856,-0.22032
3753.68023,0.50618
3753.68261,-0.6637
3753.73101,0.04806
3753.73411,0.12575
3753.73936,-0.68935
3753.75152,0.1588
3753.76368,1.09965
3753.76558,-0.58821
3753.79801,-0.2483
3753.80564,0.14595
3753.80564,1.09955
3753.81875,0.07588
3753.82137,0.15505
3753.82519,0.01953
3753.84068,0.10873
3753.84283,-0.54157
3753.85475,1.58317
3753.87955,0.13559
3753.896,0.1588
3753.91889,0.03413
3753.94082,0.11006
3753.94893,-0.64027
3753.9506,0.85797
3753.98254,0.15182
3753.98755,1.28884
3753.999,-0.21934
3754.0102,0.14194
3754.01902,1.37411
3754.02546,0.1543
3754.02713,0.12083
3754.03333,-0.1791
3754.03333,1.55939
3754.03857,0.15615
3754.04549,0.03182
3754.0462,-0.61206
3754.05073,0.1526
3754.0524,1.16618
3754.05359,-0.47993
3754.06122,-0.47472
3754.08125,1.49598
3754.09102,0.20068
3754.09555,-0.04082
3754.11272,-0.52394
3754.12321,0.89765
3754.14324,-0.04247
3754.14968,-0.56208
3754.1542,1.21596
3754.15683,0.09026
3754.16088,0.14662
3754.1697,-0.5985
3754.17113,0.09448
3754.18067,-0.4851
3754.18687,-0.53799
3754.18758,0.04321
3754.19664,0.72229
3754.21619,0.08298
3754.22382,-0.03766
3754.25911,-0.79993
3754.27008,0.38472
3754.27032,0.15593
3754.29559,-0.57049
3754.29797,1.03915
3754.30465,0.14366
3754.30894,0.83081
3754.3397,-0.33201
3754.36258,-0.04639
3754.37641,0.05868
3754.38404,0.56319
3754.40812,1.17252
3754.4241,-0.38762
3754.42529,0.05385
3754.45819,-0.10846
3754.4651,0.17668
3754.48632,0.15046
3754.51899,1.33944
3754.55141,-0.59286
3754.57406,0.13411
3754.58527,-0.09162
3754.58717,-0.5
3754.59266,1.55347
3754.59433,0.62837
3754.60768,0.52994
3754.61102,0.12244
3754.61864,0.14282
3754.63152,-0.14978
3754.6761,0.15624
3754.68397,-0.30568
3754.68898,0.09616
3754.69804,0.05672
3754.70018,-0.00477
3754.70161,0.13652
3754.70161,1.42213
3754.70567,-0.7196
3754.7071,-0.25589
3754.70853,-0.39128
3754.71759,-0.56903
3754.75478,0.01853
3754.75931,-0.68745
3754.7617,1.47436
3754.77147,-0.56239
