#: table_doi: 10.17182/hepdata.113470.v1/t18
#: name: Fig 4b unbinned
#: description: $D^+ D^0$~mass distributions for selected candidates with the $D^0$ background subtracted by assigning the a weight to every candidate.
#: data_file: Fig_4b_unbinned.json
#: keyword reactions: P P --> Tcc+ X
#: keyword reactions: Tcc+ --> D0 D0 PI+
#: keyword observables: DN/DM
#: keyword cmenergies: 7000.0 | 8000.0 | 13000.0
#: keyword phrases: Inclusive | Proton-Proton Scattering | Invariant Mass Spectrum | Exotics | Tetraquark
$m_{D^+ D^0}$ [MEV],Weight []
3739.8231,-0.615
3739.82692,0.11175
3739.82882,0.12988
3739.83264,-0.28634
3739.83288,-0.09949
3739.83788,-0.25005
3739.83884,-0.38078
3739.85553,0.0712
3739.85577,0.12727
3739.85887,1.16622
3739.85887,1.45558
3739.86006,0.09026
3739.8634,1.04044
3739.87198,0.12752
3739.89081,0.81485
3739.89224,0.09672
3739.89749,-0.31614
3739.90655,-0.17135
3739.90941,-0.6571
3739.91108,-0.12239
3739.91704,0.1534
3739.923,-0.2203
3739.92753,1.4698
3739.93588,1.01433
3739.94017,0.09561
3739.95614,0.10838
3739.95662,-0.21442
3739.95709,0.1309
3739.9621,0.08654
3739.96925,0.08936
3739.98189,0.10852
3739.9826,0.01278
3739.9962,1.27592
3740.00216,-0.05045
3740.00621,-0.61027
3740.01241,0.29239
3740.01551,0.13065
3740.01813,0.01772
3740.03434,0.52266
3740.03649,1.17003
3740.03792,-0.2005
3740.04149,-0.3033
3740.0434,0.12203
3740.0496,0.70212
3740.05032,-0.17663
3740.05842,1.06703
3740.06629,-0.20073
3740.07773,0.12923
3740.08441,-0.00759
3740.0918,0.13069
3740.09466,0.11266
3740.09848,-0.48039
3740.09967,-0.30278
3740.10396,-0.44202
3740.11302,0.04335
3740.13066,0.13093
3740.13329,0.1302
3740.134,0.81317
3740.13472,0.1275
3740.13662,-0.07045
3740.13782,0.06717
3740.13877,-0.22907
3740.14378,0.01995
3740.14497,-0.56289
3740.1545,0.14314
3740.15546,-0.55887
3740.16619,0.08776
3740.17239,0.04755
3740.17334,1.14866
3740.17525,0.10456
3740.18145,-0.46747
3740.1855,-0.38553
3740.18979,-0.40846
3740.19051,0.13007
3740.21053,-0.61972
3740.21435,-0.65529
3740.21816,-0.05456
3740.22126,0.13081
3740.22126,-0.02671
3740.2246,0.6719
3740.22913,0.69112
3740.23056,0.1291
3740.23843,0.84634
3740.23843,-0.35032
3740.24105,-0.35473
3740.24129,1.33119
3740.24463,1.26448
3740.24558,-0.03791
3740.24916,1.04133
3740.2513,0.02296
3740.25178,0.0675
3740.25416,-0.32878
3740.25917,0.11845
3740.26871,-0.60196
3740.2761,-0.23347
3740.27848,0.04355
3740.29279,0.94547
3740.29708,0.10878
3740.30256,-0.47433
3740.30399,-0.5226
3740.30614,0.12417
3740.31067,0.08181
3740.31162,0.06894
3740.3121,-0.64186
3740.31424,0.13092
3740.32068,-0.09301
3740.32235,0.1869
3740.32259,0.02512
3740.33236,-0.65078
3740.33785,0.65629
3740.34286,0.04722
3740.34357,-0.34887
3740.34405,0.63441
3740.34405,0.10243
3740.34882,-0.65816
3740.34929,0.65135
3740.35287,-0.41773
3740.35811,-0.61262
3740.35811,1.22157
3740.36169,0.08276
